id;pdfUrl;ref;author;recipient;title;placeId;placeName;date1;date2;date3;document;description;createdAt;updatedAt
1;1853187000001;BR APPR PB 001;FERRAZ, Luiz Pedreira do Couto – ministro do Império;VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;"Repassa instruções para que o destinatário assuma a presidência da província do Paraná, entre elas a de número 13\; solicita que informe o estado dos aldeamentos de Palmas (PR) e de Guarapuava (PR), bem como que tome providências para que novos aldeamentos sejam fundados.";1;Rio de Janeiro (RJ);1853-11-15;;;Original;- Zacarias foi nomeado presidente da província do Paraná por Carta Imperial de 27/09/1853, mas só assumiu no dia 19/12/1853, data da instalação da província. - Neste período, os assuntos referentes à catequese e civilização dos indígenas estavam a cargo da 4a seção da Secretaria de Estado do Ministério do Império, de acordo com o Regulamento de 30 de março de 1844.;2024-11-18 22:55:31;2024-11-18 22:55:31
2;1853187000002;BR APPR PB 001;FERRAZ, Luiz Pedreira do Couto – ministro do Império;VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;Comunica que o imperador repassou a administração do varadouro, entre os rios Brilhante (MT) e Anhuac (MT), e também do aldeamento de Ivinheima (MT), sob a direção do Barão de Antonina, para a província do Paraná, visto estarem mais próximos de Curitiba (PR) do que da capital da província do Mato Grosso.;1;Rio de Janeiro (RJ);1853-11-23;;;Original;- Zacarias foi nomeado presidente da província do Paraná por Carta Imperial de 27/09/1853, mas só assumiu no dia 19/12/1853, data da instalação da província. - Neste período, os assuntos referentes à catequese e civilização dos indígenas estavam a cargo da 4a seção da Secretaria de Estado do Ministério do Império, de acordo com o Regulamento de 30 de março de 1844. - Ver também o verbete 0007.;2024-11-18 22:55:31;2024-11-18 22:55:31
3;1853187000003;BR APPR PB 001 SPP. 369 caixa 16;RIBAS, Joaquim Manoel de Oliveira – subdelegado de polícia de Palmas;VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;"Solicita recursos para a segurança de moradores e índios \""domésticos\"" de Guarapuava (PR) e de Castro (PR), devido ao ataque de índios \""selvagens\"" na região.";1;Curitiba (PR);1853-12-26;;;Microfilme: rolo 319, flash 10, cx. 1;;2024-11-18 22:55:31;2024-11-18 22:55:31
4;1853187000004;BR APPR PB 001 SPP27 caixa 07;FRANÇA, Francisco Manoel de Assis – 1o suplente do subdelegado de polícia de Guarapuava;VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;Comunica ataque de índios à fazenda de Domingos Floriano Machado.;1;Guarapuava (PR);1854-02-09;;;Microfilme: rolo 226, flash 2, cx. 1 Cópia digital: SPP27;Ver também os verbetes 0005, 0006 e 0015.;2024-11-18 22:55:31;2024-11-18 22:55:31
5;1853187000005;BR APPR PB 001 CMP24 caixa 03;SÁ, Manoel Marcondes de – presidente da Câmara Municipal de Guarapuava;VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;Comunica ataque de índios à fazenda de Domingos Floriano Machado, que resultou no assassinato do proprietário e de outras nove pessoas.;1;Guarapuava (PR);1854-02-10;;;Microfilme: rolo 226, flash 4, cx. 1 Cópia digital: CMP24;Ver também os verbetes 0004, 0006 e 0015.;2024-11-18 22:55:31;2024-11-18 22:55:31
6;1853187000006;BR APPR PB 001 CMP25 caixa 03;SÁ, Manoel Marcondes de – presidente da Câmara Municipal de Guarapuava;VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;Comunica o ataque de índios às fazendas localizadas nos Campos das Laranjeiras (PR), pertencentes a José Nogueira do Amaral e Domingos Floriano Machado.;1;Guarapuava (PR);1854-02-10;;;Microfilme: rolo 226, flash 4, cx. 1 Cópia digital: CMP25;Ver também os verbetes 0004, 0005, 0012 e 0015.;2024-11-18 22:55:31;2024-11-18 22:55:31
7;1853187000007;BR APPR PB 001 GPR.Cpp199 caixa 02;LEVERGER, Augusto – presidente da província do Mato Grosso;VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;Comunica recebimento de aviso do Ministério do Império transferindo para a província do Paraná a inspeção do aldeamento dos índios de Ivinheima (MT) e a construção do varadouro entre os rios Brilhante (MT) e Anhuac (MT).;1;Cuiabá (MT);1854-02-20;;;Microfilme: rolo 226, flash 1, cx. 1 Cópia digital: GPR.Cpp199;Ver também o verbete 0002.;2024-11-18 22:55:31;2024-11-18 22:55:31
8;1853187000008;BR APPR PB 001 SPP34 caixa 07;OLIVEIRA, José Joaquim dos Passos – subdelegado de polícia de São José dos Pinhais;VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;Informa a invasão de indígenas ao quarteirão dos Ambrósios, na vila de São José dos Pinhais (PR).;1;São José dos Pinhais (PR);1854-02-26;;;Microfilme: rolo 226, flash 2, cx. 1 Cópia digital: SPP34;;2024-11-18 22:55:31;2024-11-18 22:55:31
9;1853187000009;BR APPR PB 001 SPP49 caixa 07;CAMARGO, Antônio de Sá e – subdelegado de polícia de Guarapuava;VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;"Comunica que, em 28 de março de 1853, recebeu, do alferes José Porfírio de Lima, por ordem do presidente da província de São Paulo, alguns objetos para serem distribuídos aos índios que, de quando em quando, chegavam à povoação de Guarapuava (PR)\; como até o momento nenhum índio havia aparecido, questiona o que deve fazer com os objetos.";1;Guarapuava (PR);1854-03-10;;;Microfilme: rolo 272, flash 1, cx. 1 Cópia digital: SPP49;;2024-11-18 22:55:31;2024-11-18 22:55:31
10;1853187000010;BR APPR PB 001 PJU243 caixa 09;BANDEIRA, Joaquim José Pinto – [juiz municipal e de órfãos de Curitiba];VASCONCELLOS, Zacarias de Góes e – presidente da província do Paraná;Solicita reembolso de despesas com o fornecimento de diversos gêneros aos índios de Palmas (PR) que passaram por Curitiba (PR), conforme ordens recebidas.;1;[Curitiba (PR)];1854-04-11;;;Microfilme: rolo 279, flash 3, cx. 1 Cópia digital: PJU243;;2024-11-18 22:55:31;2024-11-18 22:55:31
